TCID,ID wymagania,Tytuł,Warunki wstępne,ID Kroku,Opis kroku,Oczekiwany rezultat
1,1,Sprawdzenie instalacji aplikacji,"Komputer z systemem Windows 7 lub wyższym
 Dostęp do internetu 
 Otwarta strona http://mrbuggy.pl/mrbuggy3/ w przeglądarce",S1,"Klikam przycisk ""POBIERZ"" na stonie MrBuggy3","Pobrany plik jest w postaci archiwum ""ZIP"""
,,,,S2,Wypakowuję archiwum,Archiwum zawiera plik wykonawczy
,,,,S3,Uruchamiam plik wykonawczy,Aplikacja uruchamia się bez instalacji
2,2,Rejestracja w aplikacji nowego użytkownika- pozytywny,"Otwarte okno logowania aplikacji MrBuggy3, 
 dostęp do internetu,
 Przez cały czas trwania testu otwarta przeglądarka na stonie https://temp-mail.org/pl/ 
 wygenerowany tymczasowy adres e-mail",S1,"Klikam w oknie logowania opcję ""Rejestracja""",Otwiera się okno rejestracji nowego użytkownika
,,,,S2,"Wypełniam formularz rejestracji:
 Pole ""Login"": Login musi składać się z 4 do 8 znaków i zawierać przynajmniej jedną małą literę, jedną wielką literę, jedną cyfrę i jeden znak specjalny","Pole ""Login"" wypełnione jest wybranym loginem"
,,,,S3,"Pole ""e-mail"": tymczasowy adres e-mail","Pole ""e-mail"" wypełnione jest wybranym mailem"
,,,,S4,"Pole ""Hasło"": hasło musi składać się z conajmniej 20 znaków, jednej małej litery, jednej wielkiej litery, jednej cyfry oraz jednego znaku specjalnego np..: 'Testowanie12345!@#$%""","Pole ""Hasło"" jest wypełnione gwiazdkami"
,,,,S5,"Pole ""Powtórz hasło"": wpisuję to samo hasło co powyżej","Pole ""Powtórz hasło"" jest wypełnione gwiazdkami"
,,,,S6,"Klikam przycisk ""ZAREJESTRUJ""",Pojawia się okno dialogowe z informacją o wysłanym na adres e-mail linku aktywacyjnym
,,,,S7,Na stronie https://temp-mail.org/pl/ wchodzę w mail potwierdzający rejestrację i klikam link aktywacyjny,"Konto zostało aktywowane, zapisuję dane do logowania"
3,2,Rejestracja - negatywny- próba rejestracji zarejestrowany wcześniej adres e-mail,"Otwarte okno logowania aplikacji MrBuggy3, 
 dostęp do internetu i przez cały czas trwania testu otwarta przeglądarka na stonie https://temp-mail.org/pl/ 
 wygenerowany tymczasowy adres e-mail ten sam co w TCID2",S1,"Klikam w oknie logowania opcję ""Rejestracja""",Otwiera się okno rejestracji nowego użytkownika
,,,,S2,"Wypełniam formularz rejestracji:
 Pole ""Login"": używam loginu innego niż w przypadku testowego , Login musi składać się z 4 do 8 znaków i zawierać przynajmniej jedną małą literę, jedną wielką literę, jedną cyfrę i jeden znak specjalny","Pole ""Login"" wypełnione jest wybranym loginem"
,,,,S3,"Pole ""e-mail"": tymczasowy adres e-mail","Pole ""e-mail"" wypełnione jest wybranym mailem"
,,,,S4,"Pole ""Hasło"": hasło musi składać się z conajmniej 20 znaków, jednej małej litery, jednej wielkiej litery, jednej cyfry oraz jednego znaku specjalnego np..: 'Testowanie12345!@#$%""","Pole ""Hasło"" jest wypełnione gwiazdkami"
,,,,S5,"Pole ""Powtórz hasło"": wpisuję to samo hasło co powyżej","Pole ""Powtórz hasło"" jest wypełnione gwiazdkami"
,,,,S6,"Klikam przycisk ""ZAREJESTRUJ""","Pojawia się okno dialogowe z informacją, że nie można zarejestrować konta, ponieważ w bazie jest już konto na podany adres"
4,2,Rejestracja - negatywny- próba rejestracji na zarejestrowany wcześniej login,"Otwarte okno logowania aplikacji MrBuggy3, 
 dostęp do internetu i przez cały czas trwania testu otwarta przeglądarka na stonie https://temp-mail.org/pl/ 
 wygenerowany tymczasowy adres e-mail inny niż w TCID2",S1,"Klikam w oknie logowania opcję ""Rejestracja""",Otwiera się okno rejestracji nowego użytkownika
,,,,S2,"Wypełniam formularz rejestracji:
 Pole ""Login"": używam loginu z przypadku testowego TCID2","Pole ""Login"" wypełnione jest wybranym loginem"
,,,,S3,"Pole ""e-mail"": nowy tymczasowy adres e-mail","Pole ""e-mail"" wypełnione jest wybranym mailem"
,,,,S4,"Pole ""Hasło"": hasło musi składać się z conajmniej 20 znaków, jednej małej litery, jednej wielkiej litery, jednej cyfry oraz jednego znaku specjalnego np..: 'Testowanie12345!@#$%""","Pole ""Hasło"" jest wypełnione gwiazdkami"
,,,,S5,"Pole ""Powtórz hasło"": wpisuję to samo hasło co powyżej","Pole ""Powtórz hasło"" jest wypełnione gwiazdkami"
,,,,S6,"Klikam przycisk ""ZAREJESTRUJ""","Pojawia się okno dialogowe z informacją, że podany login jest niedostępny"
5,2,Rejestracja - negatywny- próba rejestracji bez wpisania danych,"Otwarte okno logowania aplikacji MrBuggy3, 
 dostęp do internetu i przez cały czas trwania testu otwarta przeglądarka na stonie https://temp-mail.org/pl/ 
 wygenerowany tymczasowy adres e-mail inny niż w TCID2",S1,"Klikam w oknie logowania opcję ""Rejestracja""",Otwiera się okno rejestracji nowego użytkownika
,,,,S2,"Zostawiam formularz rejestracji niewypełniony i klikam przycisk ""ZAREJESTRUJ""","Pojawia się okno dialogowe z informacją , że pole ""Login"" jest wymagane"
,,,,S3,"Wypełniam pole ""Login"": Login musi składać się z 4 do 8 znaków i zawierać przynajmniej jedną małą literę, jedną wielką literę, jedną cyfrę i jeden znak specjalnyreszta pól formularza jest nie wypełniona i klikam przycisk ""ZAREJESTRUJ""","Pojawia się okno dialogowe z informacją , że pole ""e-mail"" jest wymagane"
,,,,S4,"Wypełniam pole ""e-mail"": nowy tymczasowy adres e-mail, reszta pól formularza jest nie wypełniona i klikam przycisk ""ZAREJESTRUJ""","Pojawia się okno dialogowe z informacją , że pole ""Hasło"" jest wymagane"
,,,,S5,"Wypełniam pole ""Hasło"": hasło musi składać się z conajmniej 20 znaków, jednej małej litery, jednej wielkiej litery, jednej cyfry oraz jednego znaku specjalnego np..: 'Testowanie12345!@#$%"" reszta pól formularza jest nie wypełniona i klikam przycisk ""ZAREJESTRUJ""","Pojawia się okno dialogowe z informacją , że pola ""Hasło"" i ""Powtórz hasło"" muszą być identyczne"
,,,,S6,"Pole ""Powtórz hasło"": wpisuję to samo hasło co powyżej i klikam przycisk""ZAREJESTRUJ""","Pojawia się okno dialogowe z informacją, że akceptacja regulaminu jest wymagana"
6,3,"Rejestracja- negatywny- nieprawidłowe znaki w polu ""Login""","Otwarte okno logowania aplikacji MrBuggy3, 
 dostęp do internetu, 
 Przez cały czas trwania testu otwarta przeglądarka na stonie https://temp-mail.org/pl/ 
 wygenerowany tymczasowy adres e-mail inny niż w TCID2",S1,"Klikam w oknie logowania opcję ""Rejestracja""",Otwiera się okno rejestracji nowego użytkownika
,,,,S2,"Wypełniam formularz rejestracji loginem o nieprawidłowych znakach
 Pole ""Login"": agamika12","Pole ""Login"" wypełnione jest wybranym loginem"
,,,,S3,"Pole ""e-mail"": nowy tymczasowy adres e-mail","Pole ""e-mail"" wypełnione jest wybranym mailem"
,,,,S4,"Pole ""Hasło"": hasło musi składać się z conajmniej 20 znaków, jednej małej litery, jednej wielkiej litery, jednej cyfry oraz jednego znaku specjalnego np..: 'Testowanie12345!@#$%""","Pole ""Hasło"" jest wypełnione gwiazdkami"
