"ID","Title","Created By","Created On","Expected Result","Preconditions","Section","Steps"
"C1","Sprawdzenie instalacji aplikacji","Agnieszka Mika","9/5/2022 8:48 PM","Pobrany plik jest w postaci archiwum ""ZIP""
Archiwum zawiera plik wykonawczy
Aplikacja uruchamia się bez instalacji","Komputer z systemem Windows 7 lub wyższym
 Dostęp do internetu 
 Otwarta strona http://mrbuggy.pl/mrbuggy3/ w przeglądarce","Test Cases",""
"C10","Zmiany rozmiaru okna aplikacji","Agnieszka Mika","9/5/2022 8:48 PM","Widzę, że okno aplikacji widoczne jest w całości na ekranie monitora o rozdzielczości 1024x768 pikseli
Widzę, że aplikacja nie zeskalowała swojego rozmiaru","Dostęp do internetu,
 Rozdzielczość ekranu ustawiona na 1024x768;
 Uruchomiona aplikacja Mr Buggy3","Test Cases",""
"C25","Sprawdzenie pamięci operacyjnej aplikacji (100MB)","Agnieszka Mika","9/5/2022 8:48 PM","Aplikacja otwiera się poprawnie
Aplikacja nie zajmuje więcej niż 100MB","Dostęp do komputera, 
 Dostęp do internetu,
 Zainstalowana aplikacja MrBuggy3","Test Cases",""
"C28","Sprawdzenie wielkości pliku z kopią zapasową aplikacji klienckiej MrBuggy3","Agnieszka Mika","9/5/2022 8:48 PM","Otwiera się okno z właściwosciami
Plik jest mniejszy niż 2MB","Utworzony plik z kopią zapasową aplikacji MrBuggy3,
 otwarty katalog z zapisaną kopią zapasową","Test Cases",""
"C2","Rejestracja w aplikacji nowego użytkownika- pozytywny","Agnieszka Mika","9/5/2022 8:48 PM","Otwiera się okno rejestracji nowego użytkownika
Pole ""Login"" wypełnione jest wybranym loginem
Pole ""e-mail"" wypełnione jest wybranym mailem
Pole ""Hasło"" jest wypełnione gwiazdkami
Pole ""Powtórz hasło"" jest wypełnione gwiazdkami
Pojawia się okno dialogowe z informacją o wysłanym na adres e-mail linku aktywacyjnym
Konto zostało aktywowane, zapisuję dane do logowania","Otwarte okno logowania aplikacji MrBuggy3, 
 dostęp do internetu,
 Przez cały czas trwania testu otwarta przeglądarka na stonie https://temp-mail.org/pl/ 
 wygenerowany tymczasowy adres e-mail","Rejestracja",""
"C3","Rejestracja - negatywny- próba rejestracji zarejestrowany wcześniej adres e-mail","Agnieszka Mika","9/5/2022 8:48 PM","Otwiera się okno rejestracji nowego użytkownika
Pole ""Login"" wypełnione jest wybranym loginem
Pole ""e-mail"" wypełnione jest wybranym mailem
Pole ""Hasło"" jest wypełnione gwiazdkami
Pole ""Powtórz hasło"" jest wypełnione gwiazdkami
Pojawia się okno dialogowe z informacją, że nie można zarejestrować konta, ponieważ w bazie jest już konto na podany adres","Otwarte okno logowania aplikacji MrBuggy3, 
 dostęp do internetu i przez cały czas trwania testu otwarta przeglądarka na stonie https://temp-mail.org/pl/ 
 wygenerowany tymczasowy adres e-mail ten sam co w TCID2","Rejestracja",""
"C4","Rejestracja - negatywny- próba rejestracji na zarejestrowany wcześniej login","Agnieszka Mika","9/5/2022 8:48 PM","Otwiera się okno rejestracji nowego użytkownika
Pole ""Login"" wypełnione jest wybranym loginem
Pole ""e-mail"" wypełnione jest wybranym mailem
Pole ""Hasło"" jest wypełnione gwiazdkami
Pole ""Powtórz hasło"" jest wypełnione gwiazdkami
Pojawia się okno dialogowe z informacją, że podany login jest niedostępny","Otwarte okno logowania aplikacji MrBuggy3, 
 dostęp do internetu i przez cały czas trwania testu otwarta przeglądarka na stonie https://temp-mail.org/pl/ 
 wygenerowany tymczasowy adres e-mail ","Rejestracja",""
"C5","Rejestracja - negatywny- próba rejestracji bez wpisania danych","Agnieszka Mika","9/5/2022 8:48 PM","Otwiera się okno rejestracji nowego użytkownika
Pojawia się okno dialogowe z informacją , że pole ""Login"" jest wymagane
Pojawia się okno dialogowe z informacją , że pole ""e-mail"" jest wymagane
Pojawia się okno dialogowe z informacją , że pole ""Hasło"" jest wymagane
Pojawia się okno dialogowe z informacją , że pola ""Hasło"" i ""Powtórz hasło"" muszą być identyczne
Pojawia się okno dialogowe z informacją, że akceptacja regulaminu jest wymagana","Otwarte okno logowania aplikacji MrBuggy3, 
 dostęp do internetu i przez cały czas trwania testu otwarta przeglądarka na stonie https://temp-mail.org/pl/ 
 wygenerowany tymczasowy adres e-mail inny niż w TCID2","Rejestracja",""
"C6","Rejestracja- negatywny- nieprawidłowe znaki w polu ""Login""","Agnieszka Mika","9/5/2022 8:48 PM","Otwiera się okno rejestracji nowego użytkownika
Pole ""Login"" wypełnione jest wybranym loginem
Pole ""e-mail"" wypełnione jest wybranym mailem
Pole ""Hasło"" jest wypełnione gwiazdkami
Pole ""Powtórz hasło"" jest wypełnione gwiazdkami
Pojawia się okno dialogowe z informacją, że loginn musi składać się z 4 do 8 znaków i zawierać przynajmniej jedną małą literę, jedną wielką literę, jedną cyfrę i jeden znak specjalny","Otwarte okno logowania aplikacji MrBuggy3, 
 dostęp do internetu, 
 Przez cały czas trwania testu otwarta przeglądarka na stonie https://temp-mail.org/pl/ 
 wygenerowany tymczasowy adres e-mail ","Rejestracja",""
"C7","Rejestracja - negatywny- nieprawidłowe znaki w polu ""Hasło""","Agnieszka Mika","9/5/2022 8:48 PM","Otwiera się okno rejestracji nowego użytkownika
Pole ""Login"" wypełnione jest wybranym loginem
Pole ""e-mail"" wypełnione jest wybranym mailem
Pole ""Hasło"" jest wypełnione gwiazdkami
Pole ""Powtórz hasło"" jest wypełnione gwiazdkami
Pojawia się okno dialogowe z informacją, że hasło musi składać się z co najmniej 20 znaków, jednej małej litery, jednej wielkiej litery, jednej cyfry oraz jednego znaku specjalnego","Otwarte okno logowania aplikacji MrBuggy3, 
 dostęp do internetu,
 Przez cały czas trwania testu otwarta przeglądarka na stronie https://temp-mail.org/pl/ 
 wygenerowany tymczasowy adres e-mail ","Rejestracja",""
